,1. open,2. high,3. low,4. close,5. volume
2024-11-07,245.63,259.69,242.3401,255.58,16655328.0
2024-11-06,221.479,257.6799,221.11,254.31,35456033.0
2024-11-05,185.59,197.25,185.51,193.96,9950753.0
2024-11-04,180.09,186.95,176.38,186.27,11348805.0
2024-11-01,180.0,190.94,179.54,182.88,14443372.0
2024-10-31,203.73,206.0,178.82,179.25,18892021.0
2024-10-30,213.1,220.46,209.47,211.74,9515860.0
2024-10-29,220.905,223.9,216.11,219.66,11542187.0
2024-10-28,213.35,218.0,210.5,216.1,10458713.0
2024-10-25,208.3,213.67,203.4,205.04,9261318.0
2024-10-24,206.868,210.55,200.8,209.16,9925395.0
2024-10-23,206.3,209.7,194.6,198.93,10350138.0
2024-10-22,209.45,215.95,207.3,210.72,7485083.0
2024-10-21,215.4,216.86,208.13,213.72,12686426.0
2024-10-18,208.05,220.26,207.1403,220.21,13569592.0
2024-10-17,209.2,209.45,201.13,204.2,8908025.0
2024-10-16,203.53,212.4199,197.6002,210.48,13969969.0
2024-10-15,195.68,204.9,188.31,196.34,17324804.0
2024-10-14,181.185,197.69,178.27,196.35,18131377.0
2024-10-11,165.54,179.1799,165.22,176.38,10767071.0
2024-10-10,166.05,167.31,161.87,164.27,5379854.0
2024-10-09,167.69,172.49,165.78,166.97,5725046.0
2024-10-08,166.36,170.0499,165.02,167.69,5696090.0
2024-10-07,172.0,176.1483,166.892,168.92,6797536.0
2024-10-04,167.96,171.2431,164.0,170.91,6874436.0
2024-10-03,162.83,166.41,161.41,163.1,4298586.0
2024-10-02,163.03,169.29,161.39,164.47,7881090.0
2024-10-01,178.72,178.9,160.0,165.01,15210465.0
2024-09-30,184.19,185.4099,177.0,178.17,11739577.0
2024-09-27,183.07,192.45,179.5,191.23,10563371.0
