,1. open,2. high,3. low,4. close,5. volume
2024-11-07,146.39,148.93,146.17,148.88,207323303.0
2024-11-06,142.96,146.49,141.96,145.61,242043945.0
2024-11-05,137.45,140.3701,137.33,139.91,160537373.0
2024-11-04,137.21,138.96,135.57,136.05,187528173.0
2024-11-01,134.7,137.31,134.57,135.4,207127838.0
2024-10-31,137.6,137.61,132.1106,132.76,270039641.0
2024-10-30,139.54,140.33,136.81,139.335,179418082.0
2024-10-29,140.285,142.2598,138.9,141.25,157593634.0
2024-10-28,143.0,143.14,140.05,140.52,173586745.0
2024-10-25,140.93,144.13,140.8,141.54,205122109.0
2024-10-24,140.82,141.35,138.46,140.41,172354888.0
2024-10-23,142.03,142.43,137.46,139.56,285930038.0
2024-10-22,142.91,144.42,141.78,143.59,226311589.0
2024-10-21,138.13,143.71,138.0,143.71,264554514.0
2024-10-18,138.665,138.9,137.28,138.0,176090184.0
2024-10-17,139.34,140.89,136.87,136.93,306435921.0
2024-10-16,133.98,136.62,131.58,135.72,264879720.0
2024-10-15,137.87,138.57,128.74,131.6,377831021.0
2024-10-14,136.47,139.6,136.3,138.07,232347668.0
2024-10-11,134.01,135.78,133.66,134.8,170209474.0
2024-10-10,131.91,135.0,131.0,134.81,242311337.0
2024-10-09,134.11,134.52,131.38,132.65,246191612.0
2024-10-08,130.26,133.48,129.42,132.89,285722485.0
2024-10-07,124.99,130.64,124.95,127.72,346250233.0
2024-10-04,124.94,125.04,121.83,124.92,244465552.0
2024-10-03,120.92,124.36,120.3401,122.85,277117973.0
2024-10-02,116.44,119.38,115.14,118.85,221845887.0
2024-10-01,121.765,122.4351,115.79,117.0,302094485.0
2024-09-30,118.31,121.5,118.15,121.44,227053651.0
2024-09-27,123.97,124.03,119.26,121.4,271009175.0
