,1. open,2. high,3. low,4. close,5. volume
2024-11-07,288.89,299.75,285.52,296.91,117309232.0
2024-11-06,284.67,289.59,275.62,288.53,165228710.0
2024-11-05,247.34,255.2799,246.2101,251.44,69282505.0
2024-11-04,244.56,248.9,238.88,242.84,68802354.0
2024-11-01,252.043,254.0,246.63,248.98,57544757.0
2024-10-31,257.99,259.75,249.25,249.85,66575292.0
2024-10-30,258.035,263.35,255.8201,257.55,53993576.0
2024-10-29,264.51,264.98,255.51,259.52,80521751.0
2024-10-28,270.0,273.536,262.24,262.51,107653603.0
2024-10-25,256.01,269.49,255.32,269.19,161611931.0
2024-10-24,244.68,262.1199,242.65,260.48,204491903.0
2024-10-23,217.125,218.72,212.11,213.65,80938892.0
2024-10-22,217.31,218.22,215.26,217.97,43268741.0
2024-10-21,218.9,220.48,215.726,218.85,47328988.0
2024-10-18,220.71,222.28,219.23,220.7,49611867.0
2024-10-17,221.59,222.08,217.9,220.89,50791784.0
2024-10-16,221.4,222.8199,218.93,221.33,49632824.0
2024-10-15,220.01,224.26,217.12,219.57,62988787.0
2024-10-14,220.13,221.91,213.74,219.16,86291923.0
2024-10-11,220.13,223.34,214.38,217.8,142628874.0
2024-10-10,241.81,242.7899,232.34,238.77,83087063.0
2024-10-09,243.82,247.43,239.51,241.05,66289529.0
2024-10-08,243.56,246.21,240.56,244.5,56303160.0
2024-10-07,249.0,249.83,240.7,240.83,68113270.0
2024-10-04,246.69,250.96,244.58,250.08,86726285.0
2024-10-03,244.48,249.79,237.81,240.66,80729240.0
2024-10-02,247.55,251.1585,241.5,249.02,93983930.0
2024-10-01,262.67,263.98,248.53,258.02,87397613.0
2024-09-30,259.04,264.86,255.77,261.63,80873381.0
2024-09-27,257.375,260.6999,254.12,260.46,70988067.0
